starttime	seconds	ctime	dtime	ttime	wait
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	1
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	1
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	1
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	1
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	1
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	1
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	1
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	1
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	1
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	1
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	1
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	1
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	1
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	1
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	1
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	1
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	1
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	1
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	1
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	1
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	1
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	1
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	1
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	1
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	1
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	0
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	0
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	1
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	0
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	0
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	1
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
Sun Mar 17 15:23:15 2013	1363548195	0	2	2	2
